Title	Year	Rating	Runtime	Tomato Meter	Box Office
Catfish	2010	PG-13	87 min	80	$3.2M
Let Me In	2010	R	116 min	88	$12.1M
Life as We Know It	2010	PG-13	114 min	28	$53.4M
As Good as Dead	2010	R	100 min	0	$1.5k
Secretariat	2010	PG	123 min	64	$59.7M
It's Kind of a Funny Story	2010	PG-13	101 min	58	$6.4M
My Soul to Take	2010	R	107 min	9	$14.6M
Ghetto Physics	2010	R	94 min	42	$10.1k
RED	2010	PG-13	111 min	71	$90.4M
Jackass 3D	2010	R	94 min	65	$117.2M
Buried	2010	R	95 min	87	$1.0M
Never Let Me Go	2010	R	103 min	71	$2.4M
Under the Boardwalk: The Monopoly Story	2010	G	88 min	85	$5.1k
I Want Your Money	2010	PG	92 min	0	$0.4M
Exporting Raymond	2010	PG	86 min	71	$83.9k
Paranormal Activity 2	2010	R	91 min	58	$84.7M
Hereafter	2010	PG-13	129 min	46	$32.7M
Stone	2010	R	105 min	50	$1.8M
You Will Meet a Tall Dark Stranger	2010	R	98 min	46	$3.2M
Waiting for 'Superman'	2010	PG	111 min	89	$6.4M
Saw 3D: The Final Chapter	2010	R	90 min	9	$45.7M
Hatchet II	2010	R	85 min	36	$52.6k
For Colored Girls	2010	R	133 min	32	$37.7M
Conviction	2010	R	107 min	67	$6.8M
Due Date	2010	R	95 min	40	$100.4M
Megamind	2010	PG	95 min	72	$148.2M
Morning Glory	2010	PG-13	107 min	56	$31.0M
Skyline	2010	PG-13	97 min	15	$12.0M
Unstoppable	2010	PG-13	98 min	86	$81.6M
Inside Job	2010	PG-13	105 min	98	$4.3M
Senna	2010	PG-13	106 min	92	$1.6M
Brotherhood	2010	R	76 min	54	$19.5k
Harry Potter and the Deathly Hallows: Part 1	2010	PG-13	146 min	78	$295.0M
Queen of the Lot	2010	R	120 min	29	$0.2M
The Next Three Days	2010	PG-13	133 min	52	$21.1M
The Way	2010	PG-13	123 min	82	$4.4M
Tangled	2010	PG	100 min	90	$200.8M
Love & Other Drugs	2010	R	112 min	49	$32.4M
Burlesque	2010	PG-13	119 min	36	$39.4M
Faster	2010	R	98 min	43	$23.2M
London Boulevard	2010	R	103 min	33	$10.5k
Fair Game	2010	PG-13	108 min	79	$9.5M
Night Catches Us	2010	R	90 min	81	$75.3k
All Good Things	2010	R	101 min	33	$0.6M
Tucker and Dale vs. Evil	2010	R	89 min	84	$0.2M
The Chronicles of Narnia: The Voyage of the Dawn Treader	2010	PG	113 min	49	$104.4M
The Tourist	2010	PG-13	103 min	20	$67.6M
Black Swan	2010	R	108 min	87	$107.0M
TRON: Legacy	2010	PG	125 min	51	$172.1M
How Do You Know	2010	PG-13	121 min	32	$30.2M
Yogi Bear	2010	PG	80 min	13	$100.2M
The Fighter	2010	R	116 min	91	$93.6M
Little Fockers	2010	PG-13	98 min	10	$148.4M
True Grit	2010	PG-13	110 min	96	$171.0M
Holy Rollers	2010	R	89 min	51	$0.3M
Gulliver's Travels	2010	PG	85 min	21	$42.8M
The King's Speech	2010	R	118 min	94	$138.8M
The Last Godfather	2010	PG-13	100 min	0	$0.2M
Jack Goes Boating	2010	R	89 min	68	$0.5M
Love Ranch	2010	R	117 min	12	$0.1M
The Tempest	2010	PG-13	110 min	30	$0.3M
Country Strong	2010	PG-13	117 min	22	$20.2M
Henry's Crime	2010	R	108 min	40	$0.1M
I Spit on Your Grave	2010	R	108 min	34	$92.4k
Somewhere	2010	R	97 min	71	$1.8M
The Way Back	2010	PG-13	133 min	74	$2.7M
The Extra Man	2010	R	108 min	42	$0.5M
Rabbit Hole	2010	PG-13	91 min	86	$2.2M
127 Hours	2010	R	94 min	93	$18.3M
Waiting for Forever	2010	PG-13	95 min	6	$21.0k
Vanishing on 7th Street	2010	R	92 min	50	$22.2k
The Company Men	2010	R	104 min	67	$4.4M
Last Night	2010	R	93 min	50	$0.1M
The Grace Card	2010	PG-13	101 min	35	$2.4M
Happythankyoumoreplease	2010	R	100 min	40	$0.2M
Client 9: The Rise and Fall of Eliot Spitzer	2010	R	117 min	91	$0.2M
Submarine	2010	R	97 min	86	$0.5M
Peep World	2010	R	79 min	23	$10.9k
The 5th Quarter	2010	PG	90 min	50	$0.4M
Insidious	2010	PG-13	103 min	66	$54.0M
Road to Nowhere	2010	R	121 min	80	$40.3k
The Conspirator	2010	PG-13	122 min	55	$11.5M
Meek's Cutoff	2010	PG	104 min	85	$1.0M
Trust	2010	R	106 min	78	$0.1M
Dylan Dog: Dead of Night	2010	PG-13	107 min	8	$1.2M
Sympathy for Delicious	2010	R	96 min	29	$13.1k
Harvest	2010	R	102 min	73	$24.1k
The Perfect Host	2010	R	93 min	44	$48.3k
Skateland	2010	PG-13	96 min	38	$11.1k
Bloodworth	2010	R	105 min	50	$9.6k
Cost of a Soul	2010	R	107 min	27	$25.4k
Cool It	2010	PG	87 min	51	$62.7k
Rejoice and Shout	2010	PG	115 min	76	$0.1M
Beginners	2010	R	105 min	84	$5.8M
Super	2010	R	96 min	48	$0.3M
Wrecked	2010	R	91 min	46	$4.8k
Ceremony	2010	R	89 min	40	$21.7k
Stake Land	2010	R	98 min	75	$18.5k
Cherry	2010	R	99 min	60	$11.1k
The First Grader	2010	PG-13	103 min	59	$0.3M
Countdown to Zero	2010	PG	91 min	81	$0.3M
Hesher	2010	R	106 min	54	$0.4M
Amigo	2010	R	124 min	62	$0.2M
Dirty Girl	2010	R	90 min	27	$53.6k
A Little Help	2010	R	109 min	41	$85.8k
Don't Be Afraid of the Dark	2010	R	99 min	58	$24.0M
The Debt	2010	R	113 min	77	$31.1M
Cave of Forgotten Dreams	2010	G	90 min	96	$5.2M
Everything Must Go	2010	R	97 min	75	$2.7M
The Whistleblower	2010	R	112 min	74	$1.1M
Beautiful Boy	2010	R	100 min	69	$77.2k
Tabloid	2010	R	87 min	91	$0.7M
Welcome to the Rileys	2010	R	110 min	55	$0.2M
Vidal Sassoon: The Movie	2010	PG	90 min	59	$85.2k
I Kissed a Vampire	2010	PG	91 min	0	$1.4k
Virginia	2010	R	111 min	4	$11.1k
Main Street	2010	PG	92 min	13	$1.6k
High School	2010	R	99 min	27	$82.7k
Morning	2010	R	95 min	45	$2.9k
Radio Free Albemuth	2010	R	111 min	36	$0.2M
Bringing Up Bobby	2011	PG-13	93 min	17	$5.0k
Restless City	2011	R	80 min	45	$8.1k
The Last Mountain	2011	PG	95 min	80	$0.1M
Gun Hill Road	2011	R	86 min	62	$0.1M
The Details	2011	R	91 min	46	$63.6k
Down the Shore	2011	R	93 min	50	$4.8k
Season of the Witch	2011	PG-13	95 min	9	$24.8M
The Dilemma	2011	PG-13	111 min	24	$48.4M
The Green Hornet	2011	PG-13	119 min	43	$98.8M
Pariah	2011	R	86 min	93	$0.8M
"Connected: An Autoblogography About Love, Death & Technology"	2011	PG	82 min	36	$13.3k
No Strings Attached	2011	R	108 min	48	$70.6M
Little Birds	2011	R	94 min	53	$16.6k
Thin Ice	2011	R	93 min	69	$0.8M
Life in a Day	2011	PG-13	95 min	80	$0.2M
The Mechanic	2011	R	93 min	53	$29.1M
From Prada to Nada	2011	PG-13	107 min	21	$3.0M
The Rite	2011	PG-13	114 min	21	$33.0M
Sanctum	2011	R	108 min	30	$23.1M
The Roommate	2011	PG-13	91 min	4	$37.3M
Gnomeo & Juliet	2011	G	84 min	55	$99.8M
Justin Bieber: Never Say Never	2011	G	105 min	64	$73.0M
The Eagle	2011	PG-13	114 min	39	$19.5M
Just Go with It	2011	PG-13	117 min	19	$103.0M
The Last Lions	2011	PG	88 min	87	$0.6M
"Big Mommas: Like Father, Like Son"	2011	PG-13	107 min	5	$37.9M
I Am Number Four	2011	PG-13	109 min	33	$55.1M
Drive Angry	2011	R	104 min	45	$10.7M
Hall Pass	2011	R	105 min	34	$45.0M
Elevate	2011	PG	81 min	73	$3.5k
Take Me Home Tonight	2011	R	97 min	28	$6.9M
Rango	2011	PG	107 min	87	$123.2M
Beastly	2011	PG-13	86 min	21	$27.9M
The Adjustment Bureau	2011	PG-13	106 min	72	$62.5M
Battle Los Angeles	2011	PG-13	116 min	35	$83.5M
Red Riding Hood	2011	PG-13	100 min	10	$37.7M
Mars Needs Moms	2011	PG	88 min	37	$21.4M
The FP	2011	R	82 min	48	$40.6k
American Animal	2011	R	95 min	59	$5.9k
Paul	2011	R	104 min	71	$37.4M
The Lincoln Lawyer	2011	R	118 min	83	$58.0M
Cedar Rapids	2011	R	87 min	86	$6.9M
Limitless	2011	PG-13	105 min	70	$79.2M
Sucker Punch	2011	PG-13	110 min	23	$36.4M
There Be Dragons	2011	PG-13	122 min	11	$1.1M
Diary of a Wimpy Kid: Rodrick Rules	2011	PG	99 min	48	$52.7M
Hop	2011	PG	95 min	25	$108.0M
Source Code	2011	PG-13	93 min	92	$54.7M
Restless	2011	PG-13	91 min	36	$0.2M
Hanna	2011	PG-13	111 min	71	$40.2M
Your Highness	2011	R	102 min	27	$21.6M
Arthur	2011	PG-13	110 min	26	$33.0M
Soul Surfer	2011	PG	106 min	46	$43.9M
Born to Be Wild	2011	G	40 min	98	$24.2M
Rio	2011	G	96 min	72	$143.6M
Atlas Shrugged: Part I	2011	PG-13	97 min	11	$4.6M
Scream 4	2011	R	111 min	59	$38.2M
Win Win	2011	R	106 min	94	$10.2M
New York Says Thank You	2011	G	86 min	0	$0.5M
African Cats	2011	G	89 min	71	$15.4M
Jane Eyre	2011	PG-13	120 min	84	$11.2M
Madea's Big Happy Family	2011	PG-13	106 min	38	$53.3M
Water for Elephants	2011	PG-13	120 min	60	$58.7M
The Perfect Family	2011	PG-13	84 min	48	$0.1M
Prom	2011	PG	104 min	36	$10.1M
Fast Five	2011	PG-13	131 min	78	$209.8M
Hoodwinked Too! Hood vs. Evil	2011	PG	86 min	11	$10.1M
Balls to the Wall	2011	R	85 min	0	$3.1k
InSight	2011	R	92 min	0	$17.0k
"Wild Horse, Wild Ride"	2011	PG	106 min	93	$94.6k
Jumping the Broom	2011	PG-13	112 min	56	$37.3M
Thor	2011	PG-13	115 min	77	$181.0M
Priest	2011	PG-13	87 min	16	$29.1M
Bridesmaids	2011	R	125 min	90	$169.1M
The Tree of Life	2011	PG-13	139 min	84	$13.3M
The Beaver	2011	PG-13	91 min	61	$1.0M
35 and Ticking	2011	R	104 min	0	$0.1M
Pirates of the Caribbean: On Stranger Tides	2011	PG-13	136 min	33	$241.1M
Kung Fu Panda 2	2011	PG	91 min	81	$165.2M
The Hangover Part II	2011	R	102 min	34	$254.5M
The Ledge	2011	R	101 min	14	$5.2k
X-Men: First Class	2011	PG-13	132 min	87	$146.4M
5 Days of War	2011	R	113 min	33	$17.2k
Judy Moody and the Not Bummer Summer	2011	PG	91 min	19	$15.0M
Super 8	2011	PG-13	112 min	82	$127.0M
Midnight in Paris	2011	PG-13	94 min	93	$56.8M
Green Lantern	2011	PG-13	114 min	26	$116.6M
The Art of Getting By	2011	PG-13	83 min	18	$1.4M
Mr. Popper's Penguins	2011	PG	94 min	48	$68.2M
Snow Flower and the Secret Fan	2011	PG-13	120 min	21	$1.3M
Cars 2	2011	G	106 min	39	$191.5M
"Love, Wedding, Marriage"	2011	PG-13	90 min	0	$1.4k
Bad Teacher	2011	R	92 min	44	$100.3M
Transformers: Dark of the Moon	2011	PG-13	154 min	35	$352.4M
Larry Crowne	2011	PG-13	98 min	36	$35.6M
Monte Carlo	2011	PG	109 min	38	$23.2M
Zookeeper	2011	PG	102 min	14	$80.4M
Horrible Bosses	2011	R	98 min	69	$117.5M
The Son of No One	2011	R	90 min	16	$28.9k
Salvation Boulevard	2011	R	96 min	21	$27.4k
Harry Potter and the Deathly Hallows: Part 2	2011	PG-13	130 min	96	$381.0M
Winnie the Pooh	2011	G	63 min	90	$26.7M
Captain America: The First Avenger	2011	PG-13	124 min	79	$176.6M
Friends with Benefits	2011	R	109 min	70	$55.8M
A Better Life	2011	PG-13	98 min	85	$1.8M
"Crazy, Stupid, Love."	2011	PG-13	118 min	78	$84.3M
Cowboys & Aliens	2011	PG-13	119 min	44	$100.2M
The Smurfs	2011	PG	103 min	22	$142.6M
Rise of the Planet of the Apes	2011	PG-13	105 min	82	$176.7M
Magic Trip	2011	R	107 min	69	$0.2M
The Change-Up	2011	R	112 min	25	$37.0M
The Help	2011	PG-13	146 min	76	$169.7M
30 Minutes or Less	2011	R	83 min	44	$37.1M
Final Destination 5	2011	R	92 min	61	$42.6M
Glee: The 3D Concert Movie	2011	PG	84 min	60	$11.9M
Project Nim	2011	PG-13	93 min	98	$0.4M
The Future	2011	R	91 min	71	$0.6M
Conan O'Brien Can't Stop	2011	R	89 min	80	$0.3M
Fright Night	2011	R	106 min	72	$18.3M
Spy Kids: All the Time in the World in 4D	2011	PG	89 min	22	$38.5M
One Day	2011	PG-13	107 min	36	$13.8M
Conan the Barbarian	2011	R	113 min	24	$21.3M
The Greatest Movie Ever Sold	2011	PG-13	90 min	73	$0.6M
Higher Ground	2011	R	109 min	81	$0.8M
Colombiana	2011	PG-13	108 min	27	$36.7M
The Family Tree	2011	R	87 min	10	$3.7k
Our Idiot Brother	2011	R	90 min	67	$24.8M
Seven Days in Utopia	2011	G	100 min	14	$4.4M
Shark Night 3D	2011	PG-13	90 min	17	$18.9M
Apollo 18	2011	PG-13	86 min	24	$17.7M
Seeking Justice	2011	R	105 min	27	$0.4M
Creature	2011	R	93 min	11	$0.3M
Bucky Larson: Born to Be a Star	2011	R	97 min	0	$2.3M
Warrior	2011	PG-13	140 min	83	$13.7M
Contagion	2011	PG-13	106 min	84	$75.6M
Drive	2011	R	100 min	93	$35.1M
Straw Dogs	2011	R	110 min	41	$10.3M
I Don't Know How She Does It	2011	PG-13	89 min	17	$9.7M
Answers to Nothing	2011	R	124 min	9	$22.0k
Abduction	2011	PG-13	106 min	4	$28.1M
A Bird of the Air	2011	PG-13	108 min	30	$10.2k
Dolphin Tale	2011	PG	113 min	82	$72.3M
Moneyball	2011	PG-13	133 min	95	$75.6M
Musical Chairs	2011	PG-13	102 min	37	$29.9k
Page One: Inside the New York Times	2011	R	92 min	79	$1.1M
Margin Call	2011	R	107 min	88	$5.4M
Dream House	2011	PG-13	92 min	6	$21.3M
Red State	2011	R	88 min	58	$1.0M
Courageous	2011	PG-13	129 min	30	$34.5M
What's Your Number?	2011	R	106 min	23	$14.0M
50/50	2011	R	100 min	94	$35.0M
Munger Road	2011	PG-13	86 min	0	$0.3M
Intruders	2011	R	100 min	31	$64.7k
Real Steel	2011	PG-13	127 min	60	$85.5M
The Ides of March	2011	R	101 min	85	$41.0M
Another Earth	2011	PG-13	92 min	63	$1.3M
Footloose	2011	PG-13	113 min	70	$51.8M
Texas Killing Fields	2011	R	105 min	33	$45.3k
The Big Year	2011	PG	100 min	40	$7.2M
Addiction Incorporated	2011	PG-13	100 min	75	$40.0k
The Thing	2011	R	103 min	35	$16.9M
Johnny English Reborn	2011	PG	101 min	39	$8.3M
We Need to Talk About Kevin	2011	R	112 min	76	$1.7M
Trespass	2011	R	91 min	10	$16.8k
Paranormal Activity 3	2011	R	83 min	68	$104.0M
The Three Musketeers	2011	PG-13	110 min	24	$20.4M
The Music Never Stopped	2011	PG	105 min	65	$0.3M
A Good Old Fashioned Orgy	2011	R	95 min	32	$0.1M
Puss in Boots	2011	PG	90 min	84	$149.2M
The Rum Diary	2011	R	120 min	50	$13.1M
Anonymous	2011	PG-13	130 min	46	$4.5M
The Double	2011	PG-13	98 min	20	$0.1M
In Time	2011	PG-13	109 min	36	$37.6M
Hide Away	2011	PG-13	88 min	42	$29.6k
Machine Gun Preacher	2011	R	129 min	29	$0.5M
Tower Heist	2011	PG-13	104 min	68	$78.0M
A Very Harold & Kumar 3D Christmas	2011	R	90 min	68	$35.0M
Loosies	2011	PG-13	89 min	19	$3.3k
Take Shelter	2011	R	120 min	91	$1.7M
Jack and Jill	2011	PG	91 min	3	$74.2M
Immortals	2011	R	110 min	35	$83.5M
J. Edgar	2011	R	137 min	43	$37.3M
The Twilight Saga: Breaking Dawn - Part 1	2011	PG-13	117 min	24	$281.3M
Arthur Christmas	2011	PG	97 min	92	$46.4M
The Muppets	2011	PG	103 min	96	$88.6M
Hugo	2011	PG	126 min	94	$73.8M
The Deep Blue Sea	2011	R	98 min	79	$1.1M
Another Happy Day	2011	R	119 min	45	$8.5k
The Sitter	2011	R	81 min	21	$30.2M
The Descendants	2011	R	115 min	89	$82.6M
New Year's Eve	2011	PG-13	113 min	7	$54.5M
On the Ice	2011	R	96 min	67	$70.5k
Alvin and the Chipmunks: Chipwrecked	2011	G	87 min	12	$133.1M
Sherlock Holmes: A Game of Shadows	2011	PG-13	129 min	59	$186.8M
Young Adult	2011	R	94 min	80	$16.3M
Martha Marcy May Marlene	2011	R	102 min	90	$3.0M
Mission: Impossible - Ghost Protocol	2011	PG-13	133 min	93	$209.4M
The Girl with the Dragon Tattoo	2011	R	158 min	86	$102.5M
The Adventures of Tintin	2011	PG	107 min	75	$77.6M
My Week with Marilyn	2011	R	99 min	83	$14.6M
We Bought a Zoo	2011	PG	124 min	66	$75.6M
The Darkest Hour	2011	PG-13	89 min	12	$21.4M
War Horse	2011	PG-13	146 min	77	$79.9M
Roadie	2011	R	95 min	72	$7.6k
Haywire	2011	R	93 min	80	$18.9M
Extremely Loud & Incredibly Close	2011	PG-13	129 min	46	$31.8M
The Artist	2011	PG-13	100 min	97	$44.7M
The Grey	2011	R	117 min	79	$51.5M
Like Crazy	2011	PG-13	90 min	72	$3.4M
Circumstance	2011	R	107 min	86	$0.5M
In the Land of Blood and Honey	2011	R	127 min	55	$0.3M
Buck	2011	PG	88 min	89	$4.0M
Ghost Rider: Spirit of Vengeance	2011	PG-13	96 min	17	$51.8M
Corman's World: Exploits of a Hollywood Rebel	2011	R	95 min	92	$7.0k
Albert Nobbs	2011	R	113 min	56	$3.0M
Rampart	2011	R	108 min	74	$1.0M
Goon	2011	R	92 min	82	$4.2M
Silent House	2011	R	86 min	41	$12.6M
Puncture	2011	R	100 min	51	$67.1k
Jiro Dreams of Sushi	2011	PG	81 min	99	$2.6M
Friends with Kids	2011	R	107 min	66	$7.3M
Natural Selection	2011	R	90 min	71	$48.2k
Bellflower	2011	R	106 min	74	$0.2M
The Trouble with Bliss	2011	PG-13	97 min	29	$10.9k
The Innkeepers	2011	R	101 min	79	$77.5k
Into the Abyss	2011	PG-13	107 min	91	$0.2M
The Island President	2011	PG	101 min	98	$75.2k
Paul Williams Still Alive	2011	PG-13	87 min	97	$37.6k
The Raid: Redemption	2011	R	101 min	85	$4.1M
Touchback	2011	PG-13	118 min	38	$0.2M
The Divide	2011	R	112 min	25	$18.0k
Damsels in Distress	2011	PG-13	99 min	75	$1.0M
Being Elmo: A Puppeteer's Journey	2011	PG	80 min	95	$0.3M
Laugh at My Pain	2011	R	89 min	71	$7.7M
Bully	2011	PG-13	98 min	84	$44.7M
A Little Bit of Heaven	2011	PG-13	106 min	4	$10.0k
Last Call at the Oasis	2011	PG-13	105 min	83	$40.8k
Kill the Irishman	2011	R	106 min	63	$1.2M
"Jeff, Who Lives at Home"	2011	R	83 min	78	$4.2M
The Best Exotic Marigold Hotel	2011	PG-13	124 min	78	$46.4M
God Bless America	2011	R	105 min	67	$0.1M
Margaret	2011	R	150 min	74	$46.5k
Bernie	2011	PG-13	104 min	90	$9.2M
Lovely Molly	2011	R	99 min	41	$18.0k
Neil Young Journeys	2011	PG	87 min	88	$0.2M
Your Sister's Sister	2011	R	90 min	83	$1.6M
Killer Joe	2011	R	102 min	78	$0.9M
Revenge of the Electric Car	2011	PG-13	90 min	70	$0.2M
I Melt with You	2011	R	129 min	12	$6.0k
Undefeated	2011	PG-13	113 min	96	$0.6M
Sound of My Voice	2011	R	85 min	75	$0.4M
Terri	2011	R	105 min	86	$0.7M
"Peace, Love, & Misunderstanding"	2011	R	96 min	29	$0.5M
Samsara	2011	PG-13	102 min	77	$2.6M
The Good Doctor	2011	PG-13	93 min	66	$3.2k
The Day	2011	R	87 min	23	$20.5k
Diana Vreeland: The Eye Has to Travel	2011	PG-13	86 min	94	$1.0M
10 Years	2011	PG-13	100 min	60	$0.2M
The Oranges	2011	R	90 min	34	$0.4M
Butter	2011	R	90 min	33	$70.9k
Comic-Con Episode IV: A Fan's Hope	2011	PG-13	88 min	83	$34.7k
4:44 Last Day on Earth	2011	R	82 min	48	$15.7k
Dorfman in Love	2011	R	92 min	15	$13.7k
October Baby	2011	PG-13	107 min	22	$5.4M
Violet & Daisy	2011	R	88 min	22	$10.0k
You're Next	2011	R	95 min	75	$18.5M
Take Me Home	2011	PG-13	97 min	0	$15.4k
Cassadaga	2011	R	108 min	10	$1.7k
Forks Over Knives	2011	PG	90 min	61	$1.0M
Fort McCoy	2011	R	100 min	50	$78.2k
The Devil Inside	2012	R	83 min	6	$53.2M
Joyful Noise	2012	PG-13	118 min	33	$30.9M
Contraband	2012	R	109 min	51	$66.5M
Runaway Slave	2012	PG	108 min	0	$47.8k
Red Tails	2012	PG-13	125 min	40	$49.5M
Carol Channing: Larger Than Life	2012	PG	87 min	89	$15.5k
Underworld: Awakening	2012	R	88 min	26	$62.3M
LUV	2012	R	94 min	36	$0.2M
One for the Money	2012	PG-13	91 min	2	$26.4M
Tim and Eric's Billion Dollar Movie	2012	R	93 min	38	$0.2M
Man on a Ledge	2012	PG-13	102 min	31	$18.6M
An Inconsistent Truth	2012	PG	89 min	0	$52.8k
Chronicle	2012	PG-13	84 min	85	$64.6M
Big Miracle	2012	PG	107 min	73	$20.1M
The Vow	2012	PG-13	104 min	29	$125.0M
Journey 2: The Mysterious Island	2012	PG	94 min	42	$103.8M
Safe House	2012	R	115 min	53	$126.1M
This Means War	2012	PG-13	103 min	26	$54.8M
Act of Valor	2012	R	110 min	25	$70.0M
Gone	2012	PG-13	94 min	11	$11.7M
Good Deeds	2012	PG-13	110 min	31	$35.0M
Wanderlust	2012	R	98 min	59	$17.3M
Red Lights	2012	R	114 min	29	$49.3k
The Lorax	2012	PG	86 min	54	$213.9M
Project X	2012	R	88 min	28	$54.7M
ATM	2012	R	90 min	9	$2.0k
John Carter	2012	PG-13	132 min	51	$73.1M
A Thousand Words	2012	PG-13	91 min	0	$18.4M
Brooklyn Castle	2012	PG	101 min	96	$0.2M
The Do-Deca-Pentathlon	2012	R	76 min	74	$10.0k
Big Star: Nothing Can Hurt Me	2012	PG-13	113 min	92	$0.1M
21 Jump Street	2012	R	109 min	85	$138.4M
The Hunger Games	2012	PG-13	142 min	84	$408.0M
Mirror Mirror	2012	PG	106 min	49	$64.9M
Meeting Evil	2012	R	89 min	13	$181 
Wrath of the Titans	2012	PG-13	99 min	25	$83.6M
American Reunion	2012	R	113 min	43	$56.7M
The Cabin in the Woods	2012	R	95 min	91	$42.0M
The Three Stooges	2012	PG	92 min	51	$44.3M
Blue Like Jazz	2012	PG-13	108 min	38	$0.6M
Woman Thou Art Loosed: On the 7th Day	2012	PG-13	101 min	20	$1.2M
Being Flynn	2012	R	102 min	51	$0.5M
Think Like a Man	2012	PG-13	122 min	53	$91.5M
Marley	2012	PG-13	144 min	95	$1.4M
The Lucky One	2012	PG-13	101 min	20	$60.4M
Jesus Henry Christ	2012	PG-13	92 min	24	$18.4k
To the Arctic 3D	2012	G	40 min	67	$712 
Jack & Diane	2012	R	110 min	13	$1.0k
The Giant Mechanical Man	2012	PG-13	94 min	71	$5.4k
Safe	2012	R	94 min	57	$17.1M
The Raven	2012	R	110 min	22	$16.0M
The Pirates! Band of Misfits	2012	PG	88 min	86	$31.1M
The Five-Year Engagement	2012	R	124 min	63	$28.6M
The Avengers	2012	PG-13	143 min	92	$623.3M
Dark Shadows	2012	PG-13	113 min	37	$79.7M
Otter 501	2012	G	85 min	60	$12.9k
Casa de mi Padre	2012	R	84 min	42	$5.9M
Piranha 3DD	2012	R	83 min	13	$0.4M
The Dictator	2012	R	83 min	57	$59.6M
Brake	2012	R	92 min	44	$4.3k
What to Expect When You're Expecting	2012	PG-13	110 min	22	$41.1M
Crooked Arrows	2012	PG-13	105 min	38	$1.7M
Battleship	2012	PG-13	131 min	34	$65.2M
On the Road	2012	R	124 min	43	$0.7M
Darling Companion	2012	PG-13	103 min	22	$0.8M
Men in Black 3	2012	PG-13	106 min	69	$179.0M
Snow White and the Huntsman	2012	PG-13	127 min	48	$155.1M
Lola Versus	2012	R	87 min	35	$0.3M
Prometheus	2012	R	124 min	73	$126.5M
Madagascar 3: Europe's Most Wanted	2012	PG	93 min	79	$216.4M
Ai Weiwei: Never Sorry	2012	R	91 min	97	$0.5M
That's My Boy	2012	R	116 min	20	$36.9M
Rock of Ages	2012	PG-13	123 min	41	$38.5M
Battlefield America	2012	PG-13	106 min	8	$0.2M
Lay the Favorite	2012	R	94 min	19	$21.0k
Brave	2012	PG	93 min	78	$237.3M
Seeking a Friend for the End of the World	2012	R	101 min	55	$6.6M
The Last Ride	2012	PG-13	102 min	44	$16.3k
Abraham Lincoln: Vampire Hunter	2012	R	105 min	35	$37.5M
People Like Us	2012	PG-13	114 min	55	$12.4M
Magic Mike	2012	R	110 min	80	$113.7M
Moonrise Kingdom	2012	PG-13	94 min	94	$45.5M
Ted	2012	R	106 min	67	$218.6M
Madea's Witness Protection	2012	PG-13	114 min	21	$65.6M
The Amazing Spider-Man	2012	PG-13	136 min	72	$262.0M
Katy Perry: Part of Me	2012	PG	93 min	77	$25.3M
Beasts of the Southern Wild	2012	PG-13	93 min	86	$12.8M
Cowgirls 'n Angels	2012	PG	92 min	0	$0.1M
Savages	2012	R	131 min	51	$47.3M
The Magic of Belle Isle	2012	PG	109 min	30	$0.1M
To Rome with Love	2012	R	112 min	44	$16.7M
The Obama Effect	2012	PG-13	85 min	0	$0.1M
Ice Age: Continental Drift	2012	PG	88 min	37	$161.3M
Soldiers of Fortune	2012	R	94 min	14	$38.8k
The Dark Knight Rises	2012	PG-13	165 min	87	$448.1M
Something from Nothing: The Art of Rap	2012	R	106 min	92	$0.3M
The Watch	2012	R	102 min	17	$34.4M
Step Up Revolution	2012	PG-13	99 min	42	$35.1M
Total Recall	2012	PG-13	118 min	30	$58.9M
Diary of a Wimpy Kid: Dog Days	2012	PG	94 min	51	$49.0M
Nitro Circus: The Movie	2012	PG-13	92 min	6	$3.4M
Hope Springs	2012	PG-13	100 min	74	$63.5M
About Cherry	2012	R	98 min	10	$2.8k
No	2012	R	118 min	93	$2.3M
The Campaign	2012	R	85 min	64	$86.9M
Girl in Progress	2012	PG-13	93 min	30	$2.6M
The Bourne Legacy	2012	PG-13	135 min	55	$113.2M
The Odd Life of Timothy Green	2012	PG	105 min	34	$51.9M
ParaNorman	2012	PG	92 min	87	$56.0M
Why Stop Now?	2012	R	85 min	24	$1.6k
Sparkle	2012	PG-13	116 min	57	$24.4M
The Expendables 2	2012	R	103 min	65	$85.0M
Hit and Run	2012	R	100 min	49	$13.7M
Celeste & Jesse Forever	2012	R	92 min	70	$3.1M
Premium Rush	2012	PG-13	91 min	75	$20.3M
The Apparition	2012	PG-13	82 min	3	$4.9M
2016: Obama's America	2012	PG	87 min	26	$33.3M
The Babymakers	2012	R	95 min	8	$5.2k
The Oogieloves in the Big Balloon Adventure	2012	G	88 min	27	$1.1M
Lawless	2012	R	116 min	67	$37.4M
The Possession	2012	PG-13	92 min	40	$49.1M
Bachelorette	2012	R	87 min	56	$0.4M
Stolen	2012	R	96 min	16	$0.3M
V/H/S	2012	R	116 min	55	$99.8k
Nobody Walks	2012	R	83 min	38	$25.0k
Ruby Sparks	2012	R	104 min	79	$2.5M
Branded	2012	R	106 min	10	$0.4M
The Cold Light of Day	2012	PG-13	93 min	5	$3.7M
The Words	2012	PG-13	102 min	22	$11.4M
Arbitrage	2012	R	107 min	87	$7.9M
Last Ounce of Courage	2012	PG	101 min	0	$3.3M
